,Labels,Item sets
525,"[0.2, 0.25, 0.05, 0.5, 0.55, 0.15, 0.3, 1]","[(2, 2), (34, 26), (38, 32), (4, 73), (20, 46), (69, 65), (56, 97), (77, 74), (46, 27), (70, 60), (84, 92), (86, 14), (74, 40), (17, 73), (93, 58), (70, 65), (23, 9), (20, 90), (89, 42), (53, 88)]"
526,"[0.15, 0.15, 0.15, 0.55, 0.55, 0.25, 0.2, 1]","[(5, 97), (11, 1), (38, 96), (4, 80), (55, 86), (26, 95), (72, 93), (40, 70), (90, 86), (78, 33), (3, 68), (31, 34), (35, 50), (84, 89), (92, 36), (70, 7), (58, 4), (44, 41), (7, 37), (52, 93)]"
527,"[0.05, 0.15, 0.1, 0.7, 0.35, 0.4, 0.25, 1]","[(38, 63), (47, 97), (80, 8), (24, 65), (53, 10), (23, 47), (90, 33), (31, 37), (42, 36), (62, 20), (33, 34), (99, 67), (51, 34), (83, 20), (60, 53), (39, 49), (18, 40), (38, 90), (28, 47), (51, 93)]"
528,"[0.0, 0.05, 0.2, 0.75, 0.3, 0.3, 0.4, 1]","[(44, 69), (27, 53), (34, 18), (18, 39), (64, 48), (4, 42), (2, 30), (85, 34), (12, 89), (94, 42), (15, 16), (59, 1), (34, 88), (25, 2), (53, 24), (15, 59), (17, 83), (80, 17), (28, 48), (63, 30)]"
529,"[0.15, 0.15, 0.15, 0.55, 0.55, 0.2, 0.25, 1]","[(26, 27), (62, 64), (19, 95), (46, 50), (73, 50), (66, 42), (82, 63), (16, 63), (2, 74), (61, 25), (86, 37), (87, 76), (9, 96), (10, 95), (27, 13), (51, 14), (58, 96), (34, 83), (60, 19), (36, 93)]"
530,"[0.1, 0.05, 0.05, 0.8, 0.25, 0.1, 0.65, 1]","[(37, 27), (67, 25), (30, 19), (98, 11), (73, 4), (10, 64), (39, 28), (63, 28), (56, 97), (41, 19), (91, 31), (34, 22), (15, 14), (69, 15), (20, 88), (38, 91), (16, 36), (24, 47), (15, 25), (81, 96)]"
531,"[0.15, 0.1, 0.2, 0.55, 0.5, 0.2, 0.3, 1]","[(66, 49), (88, 99), (53, 21), (21, 23), (90, 63), (51, 23), (53, 78), (31, 93), (40, 35), (15, 17), (96, 79), (14, 62), (86, 11), (43, 51), (37, 85), (43, 83), (21, 40), (12, 50), (64, 24), (36, 75)]"
532,"[0.1, 0.1, 0.05, 0.75, 0.3, 0.2, 0.5, 1]","[(4, 31), (80, 29), (42, 29), (80, 59), (41, 39), (76, 79), (95, 82), (17, 38), (71, 10), (71, 7), (52, 59), (38, 3), (2, 61), (27, 43), (50, 9), (75, 48), (39, 23), (18, 26), (21, 89), (96, 13)]"
533,"[0.1, 0.05, 0.15, 0.7, 0.45, 0.2, 0.35, 1]","[(13, 38), (9, 66), (74, 40), (97, 77), (56, 20), (18, 63), (33, 78), (90, 6), (33, 66), (84, 25), (79, 77), (36, 3), (23, 48), (76, 63), (43, 60), (20, 82), (49, 43), (80, 20), (63, 11), (23, 3)]"
534,"[0.25, 0.15, 0.05, 0.55, 0.55, 0.15, 0.3, 1]","[(84, 91), (11, 66), (3, 98), (77, 24), (49, 43), (22, 31), (90, 71), (76, 59), (15, 32), (99, 6), (49, 8), (90, 46), (39, 89), (74, 69), (27, 82), (3, 4), (73, 85), (79, 40), (14, 71), (77, 95)]"
535,"[0.0, 0.1, 0.2, 0.7, 0.3, 0.15, 0.55, 1]","[(74, 22), (65, 39), (65, 31), (35, 83), (16, 57), (28, 29), (37, 79), (83, 16), (35, 6), (16, 2), (47, 3), (90, 41), (11, 37), (34, 98), (1, 20), (40, 19), (23, 24), (23, 91), (27, 27), (73, 60)]"
536,"[0.15, 0.1, 0.1, 0.65, 0.4, 0.25, 0.35, 1]","[(39, 38), (23, 24), (47, 52), (86, 71), (85, 22), (38, 78), (47, 76), (21, 45), (49, 54), (10, 18), (6, 39), (10, 2), (10, 48), (86, 58), (15, 22), (83, 69), (8, 29), (41, 50), (76, 83), (13, 8)]"
537,"[0.05, 0.15, 0.2, 0.6, 0.55, 0.05, 0.4, 1]","[(84, 23), (12, 55), (48, 92), (34, 55), (76, 9), (5, 61), (43, 67), (31, 94), (90, 29), (52, 78), (15, 10), (36, 4), (32, 16), (27, 47), (36, 61), (86, 20), (94, 99), (30, 98), (36, 99), (42, 31)]"
538,"[0.1, 0.4, 0.1, 0.4, 0.55, 0.15, 0.3, 1]","[(18, 10), (22, 30), (95, 22), (43, 79), (1, 54), (20, 38), (53, 73), (74, 89), (24, 13), (52, 65), (93, 43), (67, 60), (85, 39), (72, 69), (62, 83), (57, 84), (34, 87), (32, 18), (61, 74), (48, 14)]"
539,"[0.2, 0.15, 0.1, 0.55, 0.45, 0.15, 0.4, 1]","[(20, 33), (45, 54), (2, 32), (22, 6), (50, 61), (71, 82), (70, 22), (99, 55), (26, 41), (20, 11), (98, 5), (13, 28), (96, 60), (74, 69), (76, 40), (68, 70), (31, 12), (47, 96), (15, 44), (49, 92)]"
540,"[0.05, 0.2, 0.0, 0.75, 0.4, 0.2, 0.4, 1]","[(32, 54), (66, 34), (75, 62), (26, 68), (80, 55), (56, 29), (25, 6), (25, 77), (52, 14), (3, 38), (73, 15), (74, 4), (21, 42), (55, 43), (44, 99), (20, 22), (58, 31), (97, 99), (2, 33), (44, 80)]"
541,"[0.1, 0.3, 0.05, 0.55, 0.6, 0.2, 0.2, 1]","[(80, 53), (56, 60), (95, 78), (6, 71), (22, 42), (49, 37), (59, 92), (73, 50), (3, 31), (34, 53), (24, 77), (7, 1), (94, 43), (12, 84), (49, 97), (72, 68), (82, 20), (94, 17), (28, 88), (39, 66)]"
542,"[0.2, 0.1, 0.15, 0.55, 0.45, 0.2, 0.35, 1]","[(3, 41), (97, 67), (95, 32), (89, 73), (5, 73), (83, 9), (73, 19), (53, 8), (45, 39), (60, 55), (33, 70), (47, 2), (60, 75), (50, 34), (68, 65), (76, 41), (55, 27), (99, 71), (5, 30), (68, 81)]"
543,"[0.2, 0.05, 0.1, 0.65, 0.45, 0.25, 0.3, 1]","[(23, 1), (73, 88), (79, 68), (11, 60), (1, 45), (14, 10), (3, 70), (84, 9), (81, 45), (42, 45), (31, 40), (47, 66), (59, 12), (59, 54), (95, 95), (93, 95), (10, 18), (61, 7), (35, 47), (8, 94)]"
544,"[0.1, 0.05, 0.15, 0.7, 0.6, 0.15, 0.25, 1]","[(57, 23), (21, 43), (3, 35), (40, 58), (80, 92), (18, 81), (8, 20), (6, 55), (70, 10), (71, 34), (63, 58), (50, 63), (13, 9), (33, 75), (38, 82), (42, 75), (31, 76), (11, 25), (78, 88), (30, 79)]"
545,"[0.2, 0.1, 0.0, 0.7, 0.5, 0.3, 0.2, 1]","[(8, 24), (5, 46), (49, 70), (81, 68), (2, 83), (76, 76), (44, 42), (4, 36), (22, 98), (56, 12), (83, 82), (49, 45), (47, 42), (65, 12), (27, 48), (21, 96), (94, 78), (97, 4), (35, 58), (35, 97)]"
546,"[0.35, 0.05, 0.1, 0.5, 0.5, 0.15, 0.35, 1]","[(90, 18), (11, 9), (51, 28), (89, 85), (51, 15), (90, 85), (31, 44), (28, 90), (88, 58), (57, 93), (71, 70), (35, 76), (35, 45), (99, 98), (5, 37), (48, 26), (73, 90), (80, 99), (5, 12), (64, 30)]"
547,"[0.05, 0.25, 0.1, 0.6, 0.55, 0.2, 0.25, 1]","[(61, 27), (7, 56), (65, 52), (61, 27), (22, 48), (71, 4), (57, 48), (62, 88), (82, 58), (43, 81), (47, 77), (7, 36), (3, 83), (6, 30), (74, 16), (14, 83), (51, 68), (28, 99), (18, 83), (13, 37)]"
548,"[0.05, 0.1, 0.05, 0.8, 0.35, 0.2, 0.45, 1]","[(2, 58), (19, 65), (98, 65), (68, 7), (55, 44), (86, 55), (52, 1), (28, 32), (34, 27), (29, 55), (39, 54), (85, 48), (63, 4), (35, 45), (76, 39), (25, 17), (23, 17), (71, 21), (37, 14), (21, 59)]"
549,"[0.25, 0.1, 0.1, 0.55, 0.45, 0.2, 0.35, 1]","[(51, 19), (39, 92), (55, 36), (57, 77), (43, 35), (76, 29), (99, 63), (78, 16), (37, 31), (75, 89), (53, 59), (83, 35), (45, 3), (44, 34), (40, 8), (99, 54), (2, 32), (95, 96), (58, 95), (28, 58)]"
550,"[0.4, 0.1, 0.1, 0.4, 0.7, 0.2, 0.1, 1]","[(32, 76), (9, 90), (69, 2), (80, 47), (85, 68), (97, 97), (27, 87), (91, 79), (82, 68), (23, 32), (14, 64), (44, 79), (42, 43), (81, 93), (30, 96), (60, 97), (59, 43), (81, 83), (38, 47), (97, 90)]"
551,"[0.2, 0.3, 0.05, 0.45, 0.4, 0.3, 0.3, 1]","[(51, 15), (24, 2), (50, 73), (44, 38), (66, 43), (51, 70), (18, 35), (49, 70), (17, 8), (41, 47), (22, 6), (76, 65), (50, 27), (92, 62), (96, 39), (78, 44), (96, 64), (65, 85), (95, 58), (34, 22)]"
552,"[0.0, 0.1, 0.2, 0.7, 0.6, 0.2, 0.2, 1]","[(35, 64), (1, 62), (51, 61), (65, 53), (35, 82), (78, 41), (9, 47), (10, 94), (13, 7), (62, 61), (51, 55), (15, 90), (14, 70), (3, 6), (7, 13), (22, 63), (34, 44), (8, 46), (1, 99), (82, 25)]"
553,"[0.0, 0.25, 0.15, 0.6, 0.35, 0.2, 0.45, 1]","[(32, 54), (36, 6), (64, 41), (80, 14), (97, 19), (80, 59), (21, 89), (45, 97), (66, 40), (71, 55), (51, 17), (35, 9), (38, 25), (53, 11), (90, 46), (72, 31), (18, 63), (28, 15), (70, 54), (58, 45)]"
554,"[0.3, 0.05, 0.2, 0.45, 0.55, 0.25, 0.2, 1]","[(90, 35), (73, 90), (30, 87), (8, 49), (28, 46), (92, 95), (99, 85), (43, 28), (86, 34), (59, 69), (3, 36), (17, 99), (28, 13), (90, 16), (82, 69), (5, 19), (90, 57), (92, 95), (34, 59), (45, 65)]"
555,"[0.15, 0.05, 0.1, 0.7, 0.45, 0.1, 0.45, 1]","[(58, 54), (66, 7), (84, 28), (5, 97), (89, 61), (1, 22), (71, 94), (73, 41), (9, 3), (29, 76), (75, 20), (88, 16), (14, 2), (25, 82), (17, 8), (21, 42), (6, 88), (95, 72), (47, 9), (67, 67)]"
556,"[0.25, 0.1, 0.1, 0.55, 0.5, 0.1, 0.4, 1]","[(73, 32), (37, 88), (79, 64), (14, 92), (24, 6), (89, 2), (11, 4), (4, 3), (28, 50), (10, 23), (80, 92), (48, 56), (91, 89), (59, 69), (64, 89), (5, 94), (97, 69), (59, 13), (90, 40), (5, 20)]"
557,"[0.1, 0.1, 0.0, 0.8, 0.35, 0.3, 0.35, 1]","[(47, 20), (48, 47), (44, 80), (81, 26), (44, 39), (10, 32), (79, 80), (95, 48), (57, 19), (95, 8), (28, 39), (90, 4), (21, 96), (5, 49), (43, 56), (99, 82), (18, 51), (25, 43), (14, 65), (35, 8)]"
558,"[0.1, 0.15, 0.0, 0.75, 0.45, 0.1, 0.45, 1]","[(6, 17), (56, 66), (71, 11), (30, 12), (65, 92), (92, 44), (11, 83), (26, 41), (88, 95), (45, 3), (21, 26), (17, 65), (58, 14), (45, 52), (15, 66), (48, 81), (28, 31), (30, 3), (15, 64), (20, 10)]"
559,"[0.3, 0.1, 0.1, 0.5, 0.65, 0.2, 0.15, 1]","[(26, 71), (97, 10), (6, 75), (17, 19), (49, 49), (31, 83), (38, 45), (61, 56), (63, 82), (55, 13), (96, 93), (85, 75), (11, 83), (28, 39), (90, 60), (95, 98), (95, 93), (28, 94), (6, 44), (54, 66)]"
560,"[0.1, 0.05, 0.1, 0.75, 0.35, 0.2, 0.45, 1]","[(56, 10), (1, 21), (21, 21), (61, 18), (70, 81), (67, 38), (52, 32), (53, 58), (33, 48), (22, 99), (25, 36), (67, 25), (93, 22), (2, 5), (77, 53), (92, 59), (73, 15), (29, 52), (17, 95), (14, 39)]"
561,"[0.35, 0.1, 0.05, 0.5, 0.55, 0.15, 0.3, 1]","[(63, 66), (77, 79), (70, 89), (22, 14), (14, 93), (20, 73), (64, 38), (8, 27), (68, 37), (71, 93), (40, 97), (70, 89), (12, 31), (79, 96), (43, 49), (40, 6), (67, 5), (78, 92), (49, 10), (57, 90)]"
562,"[0.05, 0.15, 0.05, 0.75, 0.25, 0.15, 0.6, 1]","[(80, 70), (83, 42), (29, 52), (38, 42), (65, 13), (7, 30), (1, 9), (54, 18), (37, 9), (24, 37), (38, 26), (5, 60), (89, 7), (12, 29), (25, 3), (44, 98), (64, 25), (73, 62), (94, 32), (26, 15)]"
563,"[0.2, 0.15, 0.15, 0.5, 0.65, 0.15, 0.2, 1]","[(55, 83), (60, 43), (11, 52), (88, 37), (90, 64), (97, 56), (4, 77), (4, 62), (48, 22), (67, 73), (19, 83), (75, 94), (46, 1), (41, 91), (38, 62), (70, 39), (86, 75), (18, 23), (7, 84), (21, 23)]"
564,"[0.2, 0.15, 0.15, 0.5, 0.5, 0.25, 0.25, 1]","[(76, 86), (4, 95), (31, 38), (74, 34), (35, 16), (66, 43), (28, 95), (45, 45), (49, 80), (90, 59), (52, 93), (10, 97), (47, 93), (41, 15), (71, 83), (59, 16), (91, 91), (63, 26), (23, 37), (50, 21)]"
565,"[0.1, 0.2, 0.1, 0.6, 0.6, 0.2, 0.2, 1]","[(1, 71), (48, 78), (38, 92), (76, 30), (55, 40), (75, 91), (18, 40), (47, 48), (29, 53), (97, 22), (50, 15), (15, 96), (91, 59), (26, 99), (70, 33), (52, 78), (41, 73), (45, 53), (46, 40), (57, 67)]"
566,"[0.25, 0.05, 0.05, 0.65, 0.6, 0.05, 0.35, 1]","[(53, 32), (36, 15), (33, 18), (99, 81), (18, 76), (69, 98), (25, 63), (96, 28), (62, 97), (57, 94), (47, 18), (15, 9), (78, 5), (40, 52), (80, 81), (35, 57), (66, 57), (40, 61), (11, 71), (17, 45)]"
567,"[0.35, 0.05, 0.05, 0.55, 0.8, 0.1, 0.1, 1]","[(65, 54), (32, 78), (99, 82), (98, 61), (24, 99), (27, 47), (96, 90), (88, 76), (35, 46), (21, 93), (35, 58), (87, 61), (77, 88), (29, 96), (18, 31), (26, 77), (86, 11), (91, 81), (12, 98), (16, 72)]"
568,"[0.1, 0.35, 0.1, 0.45, 0.55, 0.2, 0.25, 1]","[(78, 10), (83, 55), (23, 54), (75, 50), (59, 43), (48, 82), (69, 61), (33, 1), (9, 20), (45, 75), (47, 72), (37, 74), (31, 74), (80, 94), (24, 2), (17, 75), (15, 37), (87, 40), (27, 6), (61, 85)]"
569,"[0.25, 0.05, 0.25, 0.45, 0.5, 0.1, 0.4, 1]","[(75, 4), (80, 36), (99, 70), (70, 89), (7, 87), (42, 22), (33, 5), (43, 40), (21, 9), (58, 75), (75, 75), (33, 88), (98, 79), (98, 30), (18, 71), (51, 53), (95, 28), (94, 96), (37, 3), (5, 28)]"
570,"[0.05, 0.0, 0.25, 0.7, 0.35, 0.15, 0.5, 1]","[(2, 75), (43, 10), (84, 71), (35, 83), (99, 3), (3, 50), (73, 38), (28, 72), (21, 12), (66, 32), (12, 13), (33, 98), (60, 2), (2, 16), (90, 8), (55, 51), (72, 21), (66, 38), (87, 23), (26, 74)]"
571,"[0.2, 0.15, 0.0, 0.65, 0.55, 0.2, 0.25, 1]","[(54, 1), (51, 77), (28, 36), (38, 3), (18, 65), (18, 60), (96, 69), (9, 73), (68, 59), (88, 82), (69, 83), (76, 22), (20, 42), (45, 90), (10, 2), (51, 49), (15, 78), (65, 17), (32, 48), (93, 70)]"
572,"[0.3, 0.15, 0.0, 0.55, 0.65, 0.1, 0.25, 1]","[(98, 86), (54, 29), (11, 48), (1, 68), (74, 80), (92, 55), (75, 85), (68, 60), (62, 63), (4, 73), (52, 29), (1, 25), (90, 89), (28, 89), (94, 24), (71, 26), (83, 60), (84, 76), (3, 38), (19, 59)]"
573,"[0.15, 0.05, 0.05, 0.75, 0.55, 0.15, 0.3, 1]","[(95, 64), (47, 45), (13, 85), (23, 13), (62, 5), (90, 88), (39, 64), (74, 67), (75, 4), (15, 66), (81, 14), (10, 42), (16, 76), (18, 74), (52, 57), (9, 43), (16, 17), (44, 54), (42, 5), (96, 69)]"
574,"[0.15, 0.1, 0.05, 0.7, 0.5, 0.15, 0.35, 1]","[(48, 79), (51, 63), (21, 41), (71, 91), (81, 2), (84, 4), (15, 1), (48, 19), (24, 38), (61, 56), (6, 64), (97, 86), (26, 7), (5, 53), (96, 83), (98, 3), (11, 91), (79, 16), (20, 45), (19, 80)]"
575,"[0.4, 0.1, 0.05, 0.45, 0.6, 0.05, 0.35, 1]","[(91, 75), (72, 74), (66, 30), (72, 60), (41, 9), (78, 74), (90, 80), (89, 90), (64, 93), (85, 21), (35, 6), (95, 70), (84, 4), (84, 79), (55, 60), (23, 9), (24, 48), (71, 65), (13, 1), (35, 56)]"
576,"[0.2, 0.3, 0.0, 0.5, 0.6, 0.05, 0.35, 1]","[(70, 83), (28, 22), (44, 88), (40, 85), (80, 90), (18, 12), (24, 80), (35, 6), (54, 81), (77, 31), (43, 93), (36, 50), (54, 88), (28, 7), (58, 30), (81, 86), (82, 51), (15, 77), (62, 93), (72, 19)]"
577,"[0.15, 0.2, 0.05, 0.6, 0.55, 0.0, 0.45, 1]","[(70, 32), (78, 66), (38, 9), (43, 10), (23, 29), (52, 3), (36, 51), (65, 25), (45, 71), (71, 90), (17, 92), (3, 22), (63, 60), (68, 70), (85, 67), (90, 51), (53, 79), (14, 85), (2, 33), (68, 1)]"
578,"[0.05, 0.15, 0.15, 0.65, 0.2, 0.4, 0.4, 1]","[(29, 79), (94, 38), (59, 45), (82, 66), (65, 3), (18, 19), (10, 9), (70, 40), (21, 48), (5, 17), (17, 78), (97, 23), (60, 63), (86, 12), (94, 43), (77, 24), (28, 46), (58, 29), (71, 37), (66, 37)]"
579,"[0.05, 0.15, 0.05, 0.75, 0.55, 0.1, 0.35, 1]","[(37, 33), (48, 27), (40, 89), (65, 74), (95, 24), (49, 63), (14, 91), (31, 63), (13, 27), (94, 56), (14, 91), (53, 3), (24, 80), (25, 52), (80, 2), (76, 44), (22, 63), (26, 8), (27, 67), (31, 35)]"
580,"[0.1, 0.0, 0.05, 0.85, 0.25, 0.25, 0.5, 1]","[(85, 16), (77, 98), (51, 49), (5, 9), (23, 2), (72, 17), (55, 36), (10, 25), (56, 46), (47, 9), (89, 62), (83, 24), (6, 36), (5, 82), (27, 67), (20, 9), (22, 23), (88, 23), (22, 36), (31, 71)]"
581,"[0.0, 0.2, 0.05, 0.75, 0.4, 0.2, 0.4, 1]","[(53, 63), (8, 62), (46, 63), (24, 5), (78, 6), (69, 72), (58, 7), (52, 65), (4, 97), (56, 35), (67, 34), (48, 36), (3, 16), (21, 55), (37, 31), (8, 33), (56, 18), (25, 26), (31, 60), (78, 50)]"
582,"[0.2, 0.2, 0.1, 0.5, 0.6, 0.05, 0.35, 1]","[(16, 84), (76, 87), (24, 33), (28, 11), (66, 66), (56, 9), (69, 66), (69, 70), (35, 1), (93, 94), (80, 16), (75, 35), (84, 4), (49, 66), (9, 92), (76, 3), (13, 73), (96, 63), (91, 82), (52, 70)]"
583,"[0.2, 0.1, 0.1, 0.6, 0.5, 0.15, 0.35, 1]","[(52, 52), (34, 60), (52, 73), (83, 20), (83, 44), (67, 24), (25, 87), (91, 85), (99, 96), (56, 19), (23, 48), (85, 87), (94, 8), (90, 22), (47, 49), (40, 63), (11, 18), (53, 12), (65, 93), (1, 65)]"
584,"[0.15, 0.25, 0.1, 0.5, 0.7, 0.05, 0.25, 1]","[(68, 5), (65, 17), (85, 59), (78, 74), (34, 54), (30, 67), (76, 98), (41, 99), (64, 53), (80, 37), (36, 65), (21, 94), (14, 60), (47, 68), (69, 55), (4, 33), (25, 8), (68, 72), (77, 57), (69, 9)]"
585,"[0.3, 0.05, 0.15, 0.5, 0.5, 0.15, 0.35, 1]","[(17, 2), (35, 60), (87, 23), (69, 91), (79, 77), (59, 24), (99, 91), (94, 29), (97, 64), (90, 54), (10, 78), (94, 66), (88, 90), (87, 12), (64, 36), (73, 19), (46, 50), (66, 42), (44, 3), (34, 98)]"
586,"[0.2, 0.1, 0.1, 0.6, 0.5, 0.15, 0.35, 1]","[(57, 46), (52, 6), (53, 13), (66, 50), (54, 62), (4, 78), (1, 6), (15, 58), (62, 87), (73, 83), (3, 9), (2, 61), (21, 14), (25, 38), (48, 25), (42, 90), (2, 62), (47, 30), (83, 95), (85, 80)]"
587,"[0.15, 0.15, 0.1, 0.6, 0.6, 0.1, 0.3, 1]","[(1, 98), (53, 88), (45, 57), (9, 60), (35, 34), (30, 43), (52, 2), (18, 30), (61, 15), (72, 16), (1, 93), (57, 86), (88, 71), (75, 80), (15, 79), (60, 74), (62, 96), (60, 25), (57, 51), (16, 31)]"
588,"[0.25, 0.15, 0.05, 0.55, 0.65, 0.1, 0.25, 1]","[(30, 99), (67, 11), (46, 20), (99, 59), (61, 77), (55, 44), (12, 72), (98, 65), (71, 61), (61, 27), (79, 90), (99, 20), (9, 84), (20, 99), (94, 80), (82, 56), (8, 55), (48, 35), (84, 60), (96, 22)]"
589,"[0.35, 0.1, 0.05, 0.5, 0.65, 0.1, 0.25, 1]","[(14, 85), (96, 58), (85, 59), (43, 45), (57, 12), (53, 34), (49, 59), (28, 15), (67, 97), (98, 70), (80, 61), (48, 91), (23, 59), (74, 89), (65, 87), (78, 31), (52, 15), (70, 89), (86, 27), (21, 57)]"
590,"[0.2, 0.1, 0.15, 0.55, 0.5, 0.25, 0.25, 1]","[(97, 70), (26, 14), (16, 11), (23, 47), (79, 42), (32, 18), (19, 68), (80, 70), (74, 23), (64, 42), (3, 63), (70, 34), (54, 59), (40, 89), (98, 83), (22, 84), (26, 39), (64, 23), (63, 73), (78, 71)]"
591,"[0.1, 0.3, 0.0, 0.6, 0.5, 0.15, 0.35, 1]","[(40, 24), (39, 95), (94, 7), (93, 49), (84, 26), (35, 41), (94, 14), (72, 64), (95, 85), (70, 69), (32, 62), (96, 70), (56, 69), (16, 94), (25, 67), (4, 95), (30, 4), (78, 43), (34, 2), (46, 18)]"
592,"[0.1, 0.05, 0.2, 0.65, 0.45, 0.2, 0.35, 1]","[(14, 72), (28, 90), (41, 65), (8, 76), (86, 96), (54, 31), (6, 46), (29, 28), (58, 40), (15, 28), (53, 37), (85, 59), (58, 52), (12, 36), (96, 32), (77, 32), (58, 75), (8, 71), (78, 32), (3, 32)]"
593,"[0.2, 0.15, 0.05, 0.6, 0.6, 0.15, 0.25, 1]","[(43, 43), (96, 89), (4, 92), (77, 89), (27, 62), (49, 87), (3, 10), (25, 36), (33, 49), (85, 90), (69, 67), (67, 70), (51, 10), (8, 96), (98, 25), (42, 23), (9, 76), (14, 99), (75, 86), (98, 33)]"
594,"[0.1, 0.15, 0.05, 0.7, 0.5, 0.3, 0.2, 1]","[(16, 62), (42, 63), (60, 97), (6, 45), (39, 27), (93, 15), (94, 40), (16, 2), (29, 57), (3, 49), (93, 5), (86, 46), (24, 79), (82, 45), (1, 72), (93, 62), (27, 71), (25, 54), (18, 81), (13, 34)]"
595,"[0.3, 0.2, 0.05, 0.45, 0.6, 0.25, 0.15, 1]","[(99, 80), (43, 9), (97, 43), (96, 35), (33, 47), (24, 58), (84, 47), (75, 85), (62, 84), (6, 81), (83, 83), (74, 78), (67, 22), (11, 59), (36, 81), (91, 97), (35, 71), (50, 38), (2, 1), (51, 74)]"
596,"[0.35, 0.15, 0.15, 0.35, 0.6, 0.05, 0.35, 1]","[(45, 23), (33, 82), (93, 81), (51, 59), (74, 22), (85, 75), (51, 82), (96, 50), (38, 11), (65, 21), (25, 12), (96, 17), (57, 32), (94, 64), (90, 65), (87, 74), (50, 84), (81, 64), (83, 74), (42, 65)]"
597,"[0.15, 0.25, 0.15, 0.45, 0.55, 0.15, 0.3, 1]","[(65, 73), (79, 16), (50, 20), (26, 84), (45, 59), (12, 10), (99, 59), (35, 37), (39, 75), (50, 78), (93, 10), (78, 69), (44, 58), (24, 10), (85, 50), (90, 53), (13, 42), (10, 30), (63, 94), (70, 51)]"
598,"[0.05, 0.15, 0.05, 0.75, 0.35, 0.05, 0.6, 1]","[(16, 12), (13, 62), (38, 23), (42, 98), (13, 33), (67, 62), (90, 9), (30, 84), (30, 6), (60, 63), (48, 26), (87, 16), (59, 27), (15, 84), (50, 40), (93, 97), (55, 20), (34, 22), (12, 9), (55, 15)]"
599,"[0.15, 0.2, 0.25, 0.4, 0.35, 0.3, 0.35, 1]","[(34, 53), (85, 5), (46, 24), (70, 49), (5, 11), (19, 29), (70, 57), (98, 70), (73, 54), (71, 15), (54, 1), (83, 97), (73, 3), (63, 98), (98, 48), (90, 34), (79, 36), (39, 75), (71, 39), (83, 37)]"
600,"[0.25, 0.05, 0.05, 0.65, 0.45, 0.1, 0.45, 1]","[(88, 4), (97, 60), (81, 91), (89, 4), (29, 6), (1, 75), (75, 37), (92, 64), (22, 50), (25, 81), (82, 9), (55, 7), (42, 54), (90, 90), (74, 86), (58, 67), (50, 3), (38, 20), (96, 20), (73, 8)]"
601,"[0.25, 0.2, 0.1, 0.45, 0.6, 0.2, 0.2, 1]","[(68, 8), (59, 66), (8, 68), (87, 28), (90, 90), (1, 48), (15, 92), (79, 52), (82, 48), (60, 29), (31, 45), (66, 88), (29, 96), (98, 74), (67, 88), (39, 12), (79, 78), (60, 59), (36, 86), (39, 45)]"
602,"[0.15, 0.15, 0.1, 0.6, 0.5, 0.3, 0.2, 1]","[(50, 46), (45, 97), (61, 32), (86, 88), (54, 50), (82, 60), (1, 13), (20, 41), (87, 30), (52, 36), (9, 66), (65, 94), (22, 91), (7, 95), (15, 61), (48, 27), (58, 41), (58, 88), (34, 36), (63, 67)]"
603,"[0.0, 0.05, 0.05, 0.9, 0.5, 0.05, 0.45, 1]","[(38, 25), (1, 53), (5, 50), (47, 23), (46, 18), (14, 70), (15, 56), (94, 8), (99, 10), (43, 58), (40, 70), (73, 32), (18, 27), (21, 32), (92, 51), (43, 1), (25, 93), (14, 91), (20, 52), (14, 91)]"
604,"[0.15, 0.1, 0.05, 0.7, 0.5, 0.1, 0.4, 1]","[(25, 72), (1, 74), (49, 11), (9, 29), (64, 65), (1, 2), (31, 80), (98, 80), (88, 53), (20, 26), (69, 42), (30, 53), (23, 73), (92, 14), (96, 1), (79, 85), (99, 5), (1, 38), (40, 5), (92, 57)]"
605,"[0.25, 0.2, 0.15, 0.4, 0.75, 0.1, 0.15, 1]","[(65, 97), (29, 56), (49, 94), (30, 95), (11, 52), (65, 96), (69, 81), (51, 84), (60, 31), (19, 81), (82, 7), (35, 69), (96, 43), (89, 31), (59, 65), (59, 48), (23, 68), (66, 90), (24, 69), (90, 69)]"
606,"[0.05, 0.2, 0.15, 0.6, 0.4, 0.35, 0.25, 1]","[(6, 40), (78, 49), (53, 31), (57, 38), (18, 8), (34, 94), (3, 59), (69, 45), (44, 37), (41, 7), (70, 53), (83, 73), (77, 54), (45, 81), (3, 37), (10, 51), (69, 46), (53, 5), (63, 21), (30, 73)]"
607,"[0.2, 0.1, 0.05, 0.65, 0.4, 0.1, 0.5, 1]","[(64, 22), (90, 75), (91, 7), (35, 32), (1, 3), (1, 20), (69, 37), (2, 27), (46, 81), (34, 5), (73, 52), (77, 2), (58, 98), (27, 18), (61, 35), (81, 71), (24, 98), (22, 77), (90, 64), (79, 27)]"
608,"[0.3, 0.1, 0.1, 0.5, 0.55, 0.15, 0.3, 1]","[(74, 70), (51, 79), (84, 12), (98, 38), (3, 82), (65, 42), (26, 65), (18, 98), (78, 81), (70, 79), (14, 24), (77, 16), (76, 37), (92, 26), (87, 61), (34, 6), (69, 96), (71, 2), (71, 85), (26, 80)]"
