,Labels,Item sets,First Fit Score,First Fit Decreasing Score,Next Fit Score,Next Fit Decreasing Score,Best Fit Score,Best Fit Decreasing Score,Djang-Fitch Score,Djang-Fitch 2 Score,Best heuristic
494,"[0.1, 0.1, 0.3, 0.5, 0.45, 0.25, 0.3, 1, 7]","[(58, 33), (62, 64), (37, 80), (30, 29), (17, 9), (26, 77), (28, 96), (80, 51), (41, 48), (49, 47), (90, 69), (89, 36), (2, 25), (58, 46), (32, 79), (89, 12), (77, 26), (53, 97), (2, 57), (77, 42)]",0.5101,0.5242,0.4233,0.5047,0.5114,0.5242,0.5242,0.5258,7
495,"[0.2, 0.2, 0.0, 0.6, 0.6, 0.15, 0.25, 1, 5]","[(2, 52), (22, 49), (3, 27), (64, 89), (89, 45), (46, 76), (53, 28), (10, 73), (75, 94), (36, 31), (77, 69), (18, 48), (83, 84), (24, 55), (24, 59), (28, 1), (29, 10), (49, 87), (75, 61), (15, 82)]",0.4203,0.5633,0.4181,0.5517,0.4289,0.5634,0.5633,0.4764,5
496,"[0.05, 0.15, 0.2, 0.6, 0.55, 0.15, 0.3, 1, 1]","[(98, 11), (8, 56), (42, 73), (83, 16), (60, 81), (66, 40), (30, 69), (59, 33), (51, 17), (21, 98), (82, 9), (34, 35), (43, 92), (36, 38), (65, 67), (54, 55), (85, 30), (33, 62), (14, 92), (95, 96)]",0.5186,0.5715,0.3329,0.5323,0.5229,0.5447,0.5715,0.5564,1
497,"[0.2, 0.1, 0.15, 0.55, 0.5, 0.15, 0.35, 1, 1]","[(53, 91), (71, 30), (53, 27), (79, 39), (97, 30), (43, 16), (47, 86), (7, 46), (89, 85), (34, 77), (25, 63), (58, 91), (88, 72), (56, 9), (80, 82), (7, 99), (51, 38), (37, 19), (96, 22), (10, 95)]",0.5176,0.6581,0.418,0.6503,0.5076,0.6581,0.6581,0.5646,1
498,"[0.1, 0.2, 0.1, 0.6, 0.35, 0.3, 0.35, 1, 5]","[(77, 28), (8, 1), (54, 50), (39, 60), (7, 58), (7, 64), (49, 4), (46, 32), (21, 14), (42, 34), (85, 89), (45, 7), (84, 11), (89, 92), (46, 73), (5, 41), (47, 90), (87, 43), (94, 38), (57, 47)]",0.6017,0.6318,0.5987,0.5953,0.6017,0.6324,0.6318,0.5139,5
499,"[0.1, 0.15, 0.05, 0.7, 0.5, 0.2, 0.3, 1, 5]","[(20, 84), (75, 89), (26, 10), (22, 96), (44, 43), (79, 8), (73, 42), (49, 99), (97, 16), (10, 41), (29, 57), (37, 60), (98, 39), (27, 76), (2, 28), (95, 4), (57, 94), (50, 5), (21, 61), (53, 94)]",0.4442,0.6314,0.4292,0.605,0.4441,0.6334,0.6314,0.5031,5
500,"[0.15, 0.05, 0.2, 0.6, 0.4, 0.2, 0.4, 1, 1]","[(44, 12), (31, 26), (47, 28), (13, 93), (57, 44), (85, 89), (75, 12), (25, 43), (78, 80), (41, 31), (82, 87), (94, 16), (50, 66), (55, 10), (15, 36), (43, 68), (28, 95), (72, 7), (53, 41), (56, 64)]",0.3878,0.6603,0.3916,0.49,0.4981,0.5262,0.6603,0.5147,1
501,"[0.25, 0.1, 0.15, 0.5, 0.55, 0.25, 0.2, 1, 5]","[(99, 57), (20, 1), (83, 87), (16, 71), (16, 57), (32, 27), (44, 57), (90, 69), (8, 78), (56, 39), (2, 46), (43, 99), (75, 81), (72, 15), (99, 46), (45, 57), (86, 21), (85, 64), (71, 42), (32, 42)]",0.424,0.5547,0.5251,0.528,0.4339,0.5607,0.5547,0.5545,5
502,"[0.25, 0.05, 0.15, 0.55, 0.4, 0.35, 0.25, 1, 5]","[(21, 85), (14, 27), (61, 53), (93, 21), (15, 47), (80, 73), (91, 43), (39, 81), (8, 50), (33, 43), (89, 57), (99, 52), (70, 89), (78, 7), (6, 2), (31, 22), (76, 92), (45, 38), (20, 40), (85, 34)]",0.4734,0.6018,0.5854,0.4854,0.4842,0.6023,0.6018,0.5129,5
503,"[0.15, 0.05, 0.2, 0.6, 0.45, 0.2, 0.35, 1, 5]","[(96, 80), (68, 6), (62, 55), (70, 98), (71, 16), (99, 59), (42, 38), (63, 32), (88, 37), (38, 82), (62, 16), (64, 25), (3, 86), (37, 41), (32, 90), (74, 26), (98, 27), (5, 40), (19, 75), (8, 51)]",0.5118,0.6826,0.4146,0.5028,0.5184,0.6828,0.6826,0.5745,5
504,"[0.25, 0.25, 0.1, 0.4, 0.6, 0.1, 0.3, 1, 1]","[(22, 70), (2, 76), (49, 85), (75, 95), (90, 19), (95, 73), (95, 81), (69, 28), (5, 17), (86, 52), (75, 5), (71, 63), (44, 7), (59, 56), (88, 48), (66, 51), (58, 93), (74, 38), (66, 3), (73, 88)]",0.4577,0.4835,0.4565,0.4786,0.4621,0.4835,0.4835,0.4825,1
505,"[0.25, 0.15, 0.05, 0.55, 0.6, 0.1, 0.3, 1, 7]","[(99, 24), (85, 80), (31, 31), (51, 84), (33, 65), (78, 30), (95, 90), (29, 63), (70, 97), (81, 18), (74, 80), (22, 5), (20, 34), (31, 65), (67, 62), (8, 51), (57, 2), (37, 80), (90, 42), (81, 67)]",0.4295,0.521,0.4309,0.5006,0.4347,0.522,0.521,0.5339,7
506,"[0.05, 0.4, 0.05, 0.5, 0.45, 0.25, 0.3, 1, 5]","[(99, 47), (33, 37), (83, 2), (46, 98), (71, 92), (55, 39), (92, 46), (93, 22), (83, 47), (79, 52), (66, 55), (33, 4), (18, 63), (76, 54), (41, 64), (33, 59), (37, 95), (60, 22), (53, 30), (28, 33)]",0.3956,0.6131,0.3857,0.6103,0.3992,0.6133,0.6131,0.5166,5
507,"[0.15, 0.05, 0.0, 0.8, 0.4, 0.05, 0.55, 1, 7]","[(93, 89), (95, 59), (71, 72), (27, 75), (67, 9), (57, 3), (2, 8), (40, 15), (41, 50), (32, 12), (57, 72), (62, 18), (44, 25), (29, 82), (94, 24), (26, 4), (1, 60), (85, 23), (26, 82), (23, 21)]",0.5245,0.5253,0.4737,0.4849,0.4916,0.5269,0.5253,0.5348,7
508,"[0.0, 0.1, 0.15, 0.75, 0.15, 0.35, 0.5, 1, 3]","[(44, 39), (87, 26), (93, 24), (93, 29), (25, 42), (84, 36), (16, 9), (42, 38), (32, 9), (14, 42), (41, 29), (99, 31), (42, 93), (40, 12), (50, 42), (73, 53), (40, 50), (40, 51), (80, 22), (81, 8)]",0.4289,0.4414,0.5428,0.5438,0.4289,0.447,0.4414,0.4569,3
509,"[0.05, 0.2, 0.05, 0.7, 0.5, 0.2, 0.3, 1, 4]","[(70, 4), (38, 45), (96, 80), (62, 61), (94, 40), (17, 57), (34, 55), (75, 17), (21, 83), (12, 23), (78, 52), (76, 38), (51, 29), (32, 41), (18, 90), (64, 70), (11, 63), (80, 3), (87, 7), (25, 97)]",0.5431,0.5506,0.408,0.5272,0.571,0.5506,0.5506,0.4668,4
510,"[0.25, 0.15, 0.0, 0.6, 0.65, 0.15, 0.2, 1, 5]","[(88, 94), (42, 89), (21, 81), (67, 81), (18, 17), (2, 78), (1, 5), (95, 74), (15, 89), (42, 58), (84, 72), (95, 45), (62, 72), (25, 15), (6, 57), (2, 43), (68, 74), (71, 26), (10, 76), (43, 40)]",0.4087,0.5075,0.3963,0.52,0.4191,0.5219,0.5075,0.4456,5
511,"[0.15, 0.3, 0.05, 0.5, 0.7, 0.2, 0.1, 1, 5]","[(28, 82), (80, 81), (28, 57), (28, 61), (83, 91), (41, 45), (10, 54), (45, 84), (57, 65), (94, 50), (46, 70), (54, 1), (4, 46), (20, 89), (58, 5), (49, 95), (61, 58), (93, 75), (54, 36), (64, 61)]",0.3977,0.4876,0.3258,0.4808,0.4053,0.488,0.4876,0.4727,5
512,"[0.2, 0.05, 0.1, 0.65, 0.5, 0.15, 0.35, 1, 5]","[(88, 83), (18, 73), (48, 55), (71, 87), (20, 89), (26, 64), (13, 2), (30, 23), (4, 46), (84, 94), (34, 16), (52, 45), (12, 38), (97, 88), (49, 27), (53, 84), (95, 27), (6, 95), (95, 19), (94, 24)]",0.4914,0.5202,0.5042,0.4841,0.5104,0.5203,0.5202,0.5097,5
513,"[0.05, 0.15, 0.15, 0.65, 0.35, 0.25, 0.4, 1, 1]","[(27, 5), (46, 66), (9, 21), (68, 15), (38, 47), (55, 83), (37, 70), (19, 24), (51, 92), (45, 41), (44, 16), (9, 40), (84, 16), (16, 18), (65, 53), (17, 36), (19, 69), (89, 25), (70, 41), (79, 97)]",0.4779,0.6864,0.3725,0.6832,0.4779,0.686,0.6864,0.5355,1
514,"[0.2, 0.1, 0.15, 0.55, 0.5, 0.2, 0.3, 1, 5]","[(75, 60), (26, 1), (85, 21), (89, 30), (78, 60), (64, 87), (80, 76), (33, 83), (41, 35), (20, 56), (21, 72), (25, 74), (83, 66), (43, 44), (68, 48), (37, 16), (52, 41), (62, 5), (7, 17), (75, 68)]",0.3799,0.5756,0.3721,0.4515,0.381,0.5818,0.5756,0.5013,5
515,"[0.35, 0.1, 0.05, 0.5, 0.55, 0.1, 0.35, 1, 7]","[(95, 92), (71, 38), (14, 22), (97, 23), (72, 17), (95, 6), (72, 95), (62, 74), (94, 84), (2, 98), (98, 72), (40, 25), (33, 27), (91, 62), (34, 99), (10, 36), (83, 63), (81, 84), (2, 22), (30, 66)]",0.485,0.591,0.4956,0.5859,0.4998,0.5932,0.591,0.5954,7
516,"[0.1, 0.05, 0.15, 0.7, 0.4, 0.1, 0.5, 1, 1]","[(28, 19), (89, 47), (81, 13), (68, 88), (8, 69), (65, 43), (15, 98), (70, 7), (95, 32), (45, 19), (86, 7), (72, 14), (77, 28), (71, 72), (72, 5), (41, 80), (21, 99), (10, 71), (2, 68), (99, 3)]",0.404,0.5821,0.385,0.4541,0.4175,0.5759,0.5821,0.4393,1
517,"[0.0, 0.05, 0.1, 0.85, 0.5, 0.05, 0.45, 1, 1]","[(83, 30), (8, 74), (40, 53), (28, 26), (2, 14), (39, 64), (59, 6), (15, 27), (28, 76), (3, 71), (21, 17), (50, 68), (6, 28), (17, 21), (32, 99), (17, 43), (27, 24), (34, 78), (30, 60), (20, 70)]",0.4427,0.4978,0.2917,0.472,0.3292,0.492,0.4978,0.474,1
518,"[0.2, 0.15, 0.1, 0.55, 0.7, 0.1, 0.2, 1, 7]","[(92, 23), (64, 66), (27, 83), (22, 87), (35, 41), (83, 95), (20, 66), (17, 70), (93, 55), (87, 86), (50, 53), (78, 26), (21, 53), (66, 30), (59, 74), (41, 95), (4, 30), (35, 74), (60, 89), (42, 44)]",0.4927,0.5042,0.5917,0.5087,0.5015,0.5042,0.5042,0.5927,7
519,"[0.0, 0.05, 0.2, 0.75, 0.3, 0.2, 0.5, 1, 1]","[(2, 18), (31, 62), (51, 54), (59, 45), (31, 63), (64, 17), (35, 45), (53, 7), (95, 29), (71, 9), (29, 68), (31, 74), (35, 94), (54, 4), (75, 14), (47, 39), (77, 44), (85, 21), (91, 25), (67, 3)]",0.3429,0.5214,0.3444,0.3473,0.3452,0.5214,0.5214,0.5156,1
520,"[0.1, 0.1, 0.0, 0.8, 0.3, 0.05, 0.65, 1, 1]","[(29, 32), (69, 23), (69, 76), (29, 20), (12, 31), (52, 18), (25, 51), (27, 74), (48, 74), (58, 74), (1, 28), (44, 40), (12, 15), (85, 4), (10, 2), (52, 32), (93, 87), (16, 29), (10, 24), (30, 2)]",0.4668,0.5559,0.3753,0.4745,0.3604,0.5551,0.5559,0.4965,1
521,"[0.2, 0.1, 0.05, 0.65, 0.35, 0.2, 0.45, 1, 5]","[(53, 79), (75, 10), (16, 20), (67, 99), (7, 81), (83, 69), (29, 10), (4, 28), (81, 71), (6, 44), (26, 61), (80, 2), (58, 8), (98, 31), (48, 46), (72, 79), (40, 5), (80, 44), (30, 26), (15, 35)]",0.3977,0.5402,0.3885,0.3842,0.4013,0.5403,0.5402,0.4398,5
522,"[0.1, 0.05, 0.0, 0.85, 0.3, 0.25, 0.45, 1, 3]","[(22, 82), (2, 85), (5, 7), (17, 31), (98, 13), (2, 15), (30, 4), (73, 2), (99, 65), (7, 67), (49, 4), (2, 15), (17, 27), (68, 98), (52, 47), (53, 39), (25, 82), (50, 43), (19, 37), (89, 40)]",0.4245,0.6282,0.2918,0.6402,0.4248,0.6287,0.6282,0.4661,3
523,"[0.05, 0.15, 0.1, 0.7, 0.4, 0.1, 0.5, 1, 1]","[(35, 1), (69, 71), (1, 38), (49, 59), (41, 73), (58, 33), (12, 70), (47, 96), (31, 21), (7, 99), (67, 1), (11, 11), (16, 27), (80, 28), (85, 25), (92, 91), (10, 30), (66, 10), (52, 81), (33, 37)]",0.4905,0.6455,0.4584,0.4899,0.6275,0.6455,0.6455,0.5037,1
524,"[0.2, 0.25, 0.05, 0.5, 0.65, 0.05, 0.3, 1, 5]","[(12, 10), (73, 33), (51, 8), (9, 77), (19, 94), (11, 34), (38, 69), (94, 80), (50, 91), (67, 98), (38, 21), (95, 3), (55, 76), (78, 82), (50, 77), (27, 58), (26, 25), (50, 69), (47, 72), (79, 67)]",0.4161,0.5588,0.4161,0.5175,0.4289,0.6716,0.5588,0.5536,5
525,"[0.2, 0.25, 0.05, 0.5, 0.55, 0.15, 0.3, 1, 3]","[(2, 2), (34, 26), (38, 32), (4, 73), (20, 46), (69, 65), (56, 97), (77, 74), (46, 27), (70, 60), (84, 92), (86, 14), (74, 40), (17, 73), (93, 58), (70, 65), (23, 9), (20, 90), (89, 42), (53, 88)]",0.4334,0.5428,0.4301,0.554,0.4494,0.5536,0.5428,0.4812,3
526,"[0.15, 0.15, 0.15, 0.55, 0.55, 0.25, 0.2, 1, 5]","[(5, 97), (11, 1), (38, 96), (4, 80), (55, 86), (26, 95), (72, 93), (40, 70), (90, 86), (78, 33), (3, 68), (31, 34), (35, 50), (84, 89), (92, 36), (70, 7), (58, 4), (44, 41), (7, 37), (52, 93)]",0.452,0.596,0.3881,0.5818,0.4543,0.5984,0.596,0.5193,5
527,"[0.05, 0.15, 0.1, 0.7, 0.35, 0.4, 0.25, 1, 1]","[(38, 63), (47, 97), (80, 8), (24, 65), (53, 10), (23, 47), (90, 33), (31, 37), (42, 36), (62, 20), (33, 34), (99, 67), (51, 34), (83, 20), (60, 53), (39, 49), (18, 40), (38, 90), (28, 47), (51, 93)]",0.5447,0.5828,0.4106,0.5752,0.5447,0.5828,0.5828,0.5799,1
528,"[0.0, 0.05, 0.2, 0.75, 0.3, 0.3, 0.4, 1, 1]","[(44, 69), (27, 53), (34, 18), (18, 39), (64, 48), (4, 42), (2, 30), (85, 34), (12, 89), (94, 42), (15, 16), (59, 1), (34, 88), (25, 2), (53, 24), (15, 59), (17, 83), (80, 17), (28, 48), (63, 30)]",0.5086,0.5283,0.3345,0.3527,0.5083,0.5283,0.5283,0.408,1
529,"[0.15, 0.15, 0.15, 0.55, 0.55, 0.2, 0.25, 1, 5]","[(26, 27), (62, 64), (19, 95), (46, 50), (73, 50), (66, 42), (82, 63), (16, 63), (2, 74), (61, 25), (86, 37), (87, 76), (9, 96), (10, 95), (27, 13), (51, 14), (58, 96), (34, 83), (60, 19), (36, 93)]",0.5062,0.6712,0.4986,0.6605,0.5071,0.6716,0.6712,0.5421,5
530,"[0.1, 0.05, 0.05, 0.8, 0.25, 0.1, 0.65, 1, 1]","[(37, 27), (67, 25), (30, 19), (98, 11), (73, 4), (10, 64), (39, 28), (63, 28), (56, 97), (41, 19), (91, 31), (34, 22), (15, 14), (69, 15), (20, 88), (38, 91), (16, 36), (24, 47), (15, 25), (81, 96)]",0.3676,0.5627,0.4748,0.4867,0.3676,0.5627,0.5627,0.5128,1
531,"[0.15, 0.1, 0.2, 0.55, 0.5, 0.2, 0.3, 1, 3]","[(66, 49), (88, 99), (53, 21), (21, 23), (90, 63), (51, 23), (53, 78), (31, 93), (40, 35), (15, 17), (96, 79), (14, 62), (86, 11), (43, 51), (37, 85), (43, 83), (21, 40), (12, 50), (64, 24), (36, 75)]",0.4873,0.5056,0.4651,0.601,0.5912,0.5101,0.5056,0.5043,3
532,"[0.1, 0.1, 0.05, 0.75, 0.3, 0.2, 0.5, 1, 1]","[(4, 31), (80, 29), (42, 29), (80, 59), (41, 39), (76, 79), (95, 82), (17, 38), (71, 10), (71, 7), (52, 59), (38, 3), (2, 61), (27, 43), (50, 9), (75, 48), (39, 23), (18, 26), (21, 89), (96, 13)]",0.4473,0.6324,0.4424,0.612,0.4896,0.6307,0.6324,0.4813,1
533,"[0.1, 0.05, 0.15, 0.7, 0.45, 0.2, 0.35, 1, 5]","[(13, 38), (9, 66), (74, 40), (97, 77), (56, 20), (18, 63), (33, 78), (90, 6), (33, 66), (84, 25), (79, 77), (36, 3), (23, 48), (76, 63), (43, 60), (20, 82), (49, 43), (80, 20), (63, 11), (23, 3)]",0.5094,0.553,0.385,0.5254,0.5086,0.5627,0.553,0.5603,5
534,"[0.25, 0.15, 0.05, 0.55, 0.55, 0.15, 0.3, 1, 5]","[(84, 91), (11, 66), (3, 98), (77, 24), (49, 43), (22, 31), (90, 71), (76, 59), (15, 32), (99, 6), (49, 8), (90, 46), (39, 89), (74, 69), (27, 82), (3, 4), (73, 85), (79, 40), (14, 71), (77, 95)]",0.4394,0.5658,0.4333,0.5443,0.4422,0.5696,0.5658,0.4971,5
535,"[0.0, 0.1, 0.2, 0.7, 0.3, 0.15, 0.55, 1, 1]","[(74, 22), (65, 39), (65, 31), (35, 83), (16, 57), (28, 29), (37, 79), (83, 16), (35, 6), (16, 2), (47, 3), (90, 41), (11, 37), (34, 98), (1, 20), (40, 19), (23, 24), (23, 91), (27, 27), (73, 60)]",0.4152,0.4995,0.287,0.447,0.4164,0.4995,0.4995,0.4349,1
536,"[0.15, 0.1, 0.1, 0.65, 0.4, 0.25, 0.35, 1, 5]","[(39, 38), (23, 24), (47, 52), (86, 71), (85, 22), (38, 78), (47, 76), (21, 45), (49, 54), (10, 18), (6, 39), (10, 2), (10, 48), (86, 58), (15, 22), (83, 69), (8, 29), (41, 50), (76, 83), (13, 8)]",0.32,0.4247,0.3197,0.3854,0.3313,0.4293,0.4247,0.4152,5
537,"[0.05, 0.15, 0.2, 0.6, 0.55, 0.05, 0.4, 1, 1]","[(84, 23), (12, 55), (48, 92), (34, 55), (76, 9), (5, 61), (43, 67), (31, 94), (90, 29), (52, 78), (15, 10), (36, 4), (32, 16), (27, 47), (36, 61), (86, 20), (94, 99), (30, 98), (36, 99), (42, 31)]",0.4514,0.4953,0.4462,0.4749,0.4418,0.4953,0.4953,0.4859,1
538,"[0.1, 0.4, 0.1, 0.4, 0.55, 0.15, 0.3, 1, 5]","[(18, 10), (22, 30), (95, 22), (43, 79), (1, 54), (20, 38), (53, 73), (74, 89), (24, 13), (52, 65), (93, 43), (67, 60), (85, 39), (72, 69), (62, 83), (57, 84), (34, 87), (32, 18), (61, 74), (48, 14)]",0.3286,0.438,0.3368,0.409,0.3411,0.4381,0.438,0.4289,5
539,"[0.2, 0.15, 0.1, 0.55, 0.45, 0.15, 0.4, 1, 5]","[(20, 33), (45, 54), (2, 32), (22, 6), (50, 61), (71, 82), (70, 22), (99, 55), (26, 41), (20, 11), (98, 5), (13, 28), (96, 60), (74, 69), (76, 40), (68, 70), (31, 12), (47, 96), (15, 44), (49, 92)]",0.418,0.5435,0.4088,0.5422,0.4146,0.5455,0.5435,0.4622,5
540,"[0.05, 0.2, 0.0, 0.75, 0.4, 0.2, 0.4, 1, 1]","[(32, 54), (66, 34), (75, 62), (26, 68), (80, 55), (56, 29), (25, 6), (25, 77), (52, 14), (3, 38), (73, 15), (74, 4), (21, 42), (55, 43), (44, 99), (20, 22), (58, 31), (97, 99), (2, 33), (44, 80)]",0.5551,0.6047,0.4222,0.5687,0.4563,0.6047,0.6047,0.5723,1
541,"[0.1, 0.3, 0.05, 0.55, 0.6, 0.2, 0.2, 1, 3]","[(80, 53), (56, 60), (95, 78), (6, 71), (22, 42), (49, 37), (59, 92), (73, 50), (3, 31), (34, 53), (24, 77), (7, 1), (94, 43), (12, 84), (49, 97), (72, 68), (82, 20), (94, 17), (28, 88), (39, 66)]",0.4938,0.6022,0.4776,0.6164,0.4957,0.6031,0.6022,0.5197,3
542,"[0.2, 0.1, 0.15, 0.55, 0.45, 0.2, 0.35, 1, 5]","[(3, 41), (97, 67), (95, 32), (89, 73), (5, 73), (83, 9), (73, 19), (53, 8), (45, 39), (60, 55), (33, 70), (47, 2), (60, 75), (50, 34), (68, 65), (76, 41), (55, 27), (99, 71), (5, 30), (68, 81)]",0.4018,0.5157,0.3946,0.484,0.4944,0.5175,0.5157,0.5146,5
543,"[0.2, 0.05, 0.1, 0.65, 0.45, 0.25, 0.3, 1, 5]","[(23, 1), (73, 88), (79, 68), (11, 60), (1, 45), (14, 10), (3, 70), (84, 9), (81, 45), (42, 45), (31, 40), (47, 66), (59, 12), (59, 54), (95, 95), (93, 95), (10, 18), (61, 7), (35, 47), (8, 94)]",0.5151,0.6571,0.5108,0.6541,0.5168,0.6595,0.6571,0.554,5
544,"[0.1, 0.05, 0.15, 0.7, 0.6, 0.15, 0.25, 1, 1]","[(57, 23), (21, 43), (3, 35), (40, 58), (80, 92), (18, 81), (8, 20), (6, 55), (70, 10), (71, 34), (63, 58), (50, 63), (13, 9), (33, 75), (38, 82), (42, 75), (31, 76), (11, 25), (78, 88), (30, 79)]",0.3317,0.5766,0.4188,0.4145,0.4208,0.5755,0.5766,0.4445,1
545,"[0.2, 0.1, 0.0, 0.7, 0.5, 0.3, 0.2, 1, 5]","[(8, 24), (5, 46), (49, 70), (81, 68), (2, 83), (76, 76), (44, 42), (4, 36), (22, 98), (56, 12), (83, 82), (49, 45), (47, 42), (65, 12), (27, 48), (21, 96), (94, 78), (97, 4), (35, 58), (35, 97)]",0.4825,0.5079,0.375,0.381,0.483,0.5088,0.5079,0.5052,5
546,"[0.35, 0.05, 0.1, 0.5, 0.5, 0.15, 0.35, 1, 7]","[(90, 18), (11, 9), (51, 28), (89, 85), (51, 15), (90, 85), (31, 44), (28, 90), (88, 58), (57, 93), (71, 70), (35, 76), (35, 45), (99, 98), (5, 37), (48, 26), (73, 90), (80, 99), (5, 12), (64, 30)]",0.5147,0.5398,0.5174,0.526,0.5193,0.5402,0.5398,0.6298,7
547,"[0.05, 0.25, 0.1, 0.6, 0.55, 0.2, 0.25, 1, 1]","[(61, 27), (7, 56), (65, 52), (61, 27), (22, 48), (71, 4), (57, 48), (62, 88), (82, 58), (43, 81), (47, 77), (7, 36), (3, 83), (6, 30), (74, 16), (14, 83), (51, 68), (28, 99), (18, 83), (13, 37)]",0.4622,0.6405,0.3456,0.4649,0.4551,0.6403,0.6405,0.4057,1
548,"[0.05, 0.1, 0.05, 0.8, 0.35, 0.2, 0.45, 1, 1]","[(2, 58), (19, 65), (98, 65), (68, 7), (55, 44), (86, 55), (52, 1), (28, 32), (34, 27), (29, 55), (39, 54), (85, 48), (63, 4), (35, 45), (76, 39), (25, 17), (23, 17), (71, 21), (37, 14), (21, 59)]",0.4838,0.54,0.336,0.4657,0.4666,0.54,0.54,0.5052,1
549,"[0.25, 0.1, 0.1, 0.55, 0.45, 0.2, 0.35, 1, 1]","[(51, 19), (39, 92), (55, 36), (57, 77), (43, 35), (76, 29), (99, 63), (78, 16), (37, 31), (75, 89), (53, 59), (83, 35), (45, 3), (44, 34), (40, 8), (99, 54), (2, 32), (95, 96), (58, 95), (28, 58)]",0.4631,0.6213,0.4523,0.571,0.4592,0.6169,0.6213,0.5926,1
550,"[0.4, 0.1, 0.1, 0.4, 0.7, 0.2, 0.1, 1, 5]","[(32, 76), (9, 90), (69, 2), (80, 47), (85, 68), (97, 97), (27, 87), (91, 79), (82, 68), (23, 32), (14, 64), (44, 79), (42, 43), (81, 93), (30, 96), (60, 97), (59, 43), (81, 83), (38, 47), (97, 90)]",0.4765,0.5585,0.55,0.5461,0.4882,0.5609,0.5585,0.5515,5
551,"[0.2, 0.3, 0.05, 0.45, 0.4, 0.3, 0.3, 1, 5]","[(51, 15), (24, 2), (50, 73), (44, 38), (66, 43), (51, 70), (18, 35), (49, 70), (17, 8), (41, 47), (22, 6), (76, 65), (50, 27), (92, 62), (96, 39), (78, 44), (96, 64), (65, 85), (95, 58), (34, 22)]",0.3933,0.5089,0.3216,0.5087,0.4005,0.5147,0.5089,0.448,5
552,"[0.0, 0.1, 0.2, 0.7, 0.6, 0.2, 0.2, 1, 5]","[(35, 64), (1, 62), (51, 61), (65, 53), (35, 82), (78, 41), (9, 47), (10, 94), (13, 7), (62, 61), (51, 55), (15, 90), (14, 70), (3, 6), (7, 13), (22, 63), (34, 44), (8, 46), (1, 99), (82, 25)]",0.306,0.4386,0.293,0.396,0.3081,0.4389,0.4386,0.4177,5
553,"[0.0, 0.25, 0.15, 0.6, 0.35, 0.2, 0.45, 1, 5]","[(32, 54), (36, 6), (64, 41), (80, 14), (97, 19), (80, 59), (21, 89), (45, 97), (66, 40), (71, 55), (51, 17), (35, 9), (38, 25), (53, 11), (90, 46), (72, 31), (18, 63), (28, 15), (70, 54), (58, 45)]",0.5059,0.5306,0.4975,0.4985,0.5059,0.5484,0.5306,0.4338,5
554,"[0.3, 0.05, 0.2, 0.45, 0.55, 0.25, 0.2, 1, 7]","[(90, 35), (73, 90), (30, 87), (8, 49), (28, 46), (92, 95), (99, 85), (43, 28), (86, 34), (59, 69), (3, 36), (17, 99), (28, 13), (90, 16), (82, 69), (5, 19), (90, 57), (92, 95), (34, 59), (45, 65)]",0.5802,0.5853,0.4851,0.5745,0.5824,0.5853,0.5853,0.5882,7
555,"[0.15, 0.05, 0.1, 0.7, 0.45, 0.1, 0.45, 1, 5]","[(58, 54), (66, 7), (84, 28), (5, 97), (89, 61), (1, 22), (71, 94), (73, 41), (9, 3), (29, 76), (75, 20), (88, 16), (14, 2), (25, 82), (17, 8), (21, 42), (6, 88), (95, 72), (47, 9), (67, 67)]",0.5096,0.7183,0.3874,0.7211,0.5158,0.7218,0.7183,0.5537,5
556,"[0.25, 0.1, 0.1, 0.55, 0.5, 0.1, 0.4, 1, 5]","[(73, 32), (37, 88), (79, 64), (14, 92), (24, 6), (89, 2), (11, 4), (4, 3), (28, 50), (10, 23), (80, 92), (48, 56), (91, 89), (59, 69), (64, 89), (5, 94), (97, 69), (59, 13), (90, 40), (5, 20)]",0.4699,0.5913,0.4663,0.5925,0.4737,0.5947,0.5913,0.5124,5
557,"[0.1, 0.1, 0.0, 0.8, 0.35, 0.3, 0.35, 1, 1]","[(47, 20), (48, 47), (44, 80), (81, 26), (44, 39), (10, 32), (79, 80), (95, 48), (57, 19), (95, 8), (28, 39), (90, 4), (21, 96), (5, 49), (43, 56), (99, 82), (18, 51), (25, 43), (14, 65), (35, 8)]",0.4956,0.5534,0.4974,0.4964,0.5055,0.5534,0.5534,0.5409,1
558,"[0.1, 0.15, 0.0, 0.75, 0.45, 0.1, 0.45, 1, 1]","[(6, 17), (56, 66), (71, 11), (30, 12), (65, 92), (92, 44), (11, 83), (26, 41), (88, 95), (45, 3), (21, 26), (17, 65), (58, 14), (45, 52), (15, 66), (48, 81), (28, 31), (30, 3), (15, 64), (20, 10)]",0.5652,0.5948,0.5613,0.4367,0.5657,0.5948,0.5948,0.4478,1
559,"[0.3, 0.1, 0.1, 0.5, 0.65, 0.2, 0.15, 1, 5]","[(26, 71), (97, 10), (6, 75), (17, 19), (49, 49), (31, 83), (38, 45), (61, 56), (63, 82), (55, 13), (96, 93), (85, 75), (11, 83), (28, 39), (90, 60), (95, 98), (95, 93), (28, 94), (6, 44), (54, 66)]",0.4848,0.5794,0.4199,0.5704,0.4815,0.5798,0.5794,0.5116,5
